股票代號,日期,資金流向,MFI(%)
1101,2022-04-18,-32994000,48.48
6117,2022-04-18,200000,88.24
6116,2022-04-18,-28509000,38.87
6115,2022-04-18,-424000,43.80
6113,2022-04-18,-187000,16.62
6112,2022-04-18,-235000,42.04
6111,2022-04-18,-6736000,41.34
6109,2022-04-18,-9000,45.50
6108,2022-04-18,-846000,25.90
6104,2022-04-18,-434416000,41.97
6026,2022-04-18,-24428000,27.20
6024,2022-04-18,-860000,15.16
6023,2022-04-18,798000,64.80
6021,2022-04-18,-79000,33.35
6020,2022-04-18,-1272000,18.43
6016,2022-04-18,7419000,60.89
6015,2022-04-18,-22230000,44.23
6005,2022-04-18,-780000,49.47
5907,2022-04-18,1000,50.06
5905,2022-04-18,-1698000,24.04
5904,2022-04-18,351000,54.39
5903,2022-04-18,5731000,64.06
5902,2022-04-18,1498000,67.12
5880,2022-04-18,-130751000,38.85
6118,2022-04-18,-15760000,19.13
6120,2022-04-18,-5133000,24.87
6121,2022-04-18,1537000,52.97
6122,2022-04-18,-12717000,39.62
6155,2022-04-18,-235000,36.74
6153,2022-04-18,-2664000,40.60
6152,2022-04-18,278000,58.31
6151,2022-04-18,793000,69.53
6150,2022-04-18,23047000,57.32
6148,2022-04-18,-421000,18.39
6147,2022-04-18,13267000,51.85
6146,2022-04-18,17274000,73.54
6143,2022-04-18,-1387000,45.40
6142,2022-04-18,-568000,23.55
6141,2022-04-18,1060000,76.42
5876,2022-04-18,5644000,53.12
6140,2022-04-18,-587000,36.48
6138,2022-04-18,-82342000,31.98
6136,2022-04-18,-55000,47.14
6134,2022-04-18,-2401000,33.86
6133,2022-04-18,-83000,23.59
6130,2022-04-18,-1269000,44.48
6129,2022-04-18,-9171000,35.77
6128,2022-04-18,194000,52.21
6127,2022-04-18,-1508000,22.13
6126,2022-04-18,-2338000,26.39
6125,2022-04-18,-6267000,20.08
6123,2022-04-18,0,50.02
6139,2022-04-18,1387000,54.42
5871,2022-04-18,30320000,55.85
5864,2022-04-18,186000,62.96
5863,2022-04-18,-9000,49.20
5508,2022-04-18,-1584000,28.90
5498,2022-04-18,-526000,41.07
5493,2022-04-18,-5166000,26.87
5490,2022-04-18,-78000,38.54
5488,2022-04-18,-350000,4.47
5484,2022-04-18,-69000,46.01
5483,2022-04-18,-41907000,44.15
5481,2022-04-18,-223000,16.07
5478,2022-04-18,908000,60.89
5475,2022-04-18,-4002000,35.27
5474,2022-04-18,3623000,66.37
5511,2022-04-18,63000,53.71
5471,2022-04-18,-12112000,32.98
5468,2022-04-18,-1646000,28.57
5465,2022-04-18,232000,69.10
5464,2022-04-18,-107000,42.56
5460,2022-04-18,12000,57.35
5457,2022-04-18,-4192000,33.22
5452,2022-04-18,-217000,43.34
5450,2022-04-18,-219000,12.46
5443,2022-04-18,-493000,36.67
5439,2022-04-18,-672000,44.54
5438,2022-04-18,-14000,33.33
5434,2022-04-18,-12395000,38.96
5469,2022-04-18,1842000,55.29
6156,2022-04-18,-3140000,24.99
5512,2022-04-18,-1123000,36.21
5516,2022-04-18,-255000,39.13
5859,2022-04-18,-442000,29.73
5820,2022-04-18,-269000,40.61
5706,2022-04-18,-89780000,42.02
5704,2022-04-18,127000,57.93
5701,2022-04-18,297000,75.35
5609,2022-04-18,-103934000,41.19
5608,2022-04-18,-121437000,34.44
5607,2022-04-18,-9727000,19.27
5603,2022-04-18,-29087000,42.46
5601,2022-04-18,-438000,18.85
5546,2022-04-18,-588000,30.84
5515,2022-04-18,-9000,49.62
5543,2022-04-18,-116000,25.00
5536,2022-04-18,-1396000,43.45
5534,2022-04-18,443000,55.06
5533,2022-04-18,869000,66.98
5531,2022-04-18,-253000,47.60
5530,2022-04-18,1416000,51.01
5529,2022-04-18,-47000,20.25
5525,2022-04-18,-346000,15.78
5523,2022-04-18,27000,53.78
5522,2022-04-18,-3368000,37.56
5521,2022-04-18,-1114000,34.35
5519,2022-04-18,729000,55.06
5538,2022-04-18,-4238000,11.89
6158,2022-04-18,518000,60.19
6161,2022-04-18,-5777000,26.64
6163,2022-04-18,369000,55.75
6275,2022-04-18,1732000,58.75
6274,2022-04-18,-105733000,15.99
6272,2022-04-18,-797000,22.06
6271,2022-04-18,19411000,57.97
6270,2022-04-18,-554000,42.92
6269,2022-04-18,6172000,54.56
6266,2022-04-18,-1520000,43.87
6265,2022-04-18,-644000,44.03
6264,2022-04-18,-122000,28.27
6263,2022-04-18,3038000,88.72
6261,2022-04-18,-4610000,21.69
6276,2022-04-18,70000,83.34
6259,2022-04-18,-67000,45.02
6251,2022-04-18,-19253000,34.75
6248,2022-04-18,-358000,33.25
6247,2022-04-18,-9000,46.41
6245,2022-04-18,-23401000,44.73
6244,2022-04-18,46508000,60.90
6243,2022-04-18,-1565000,32.91
6241,2022-04-18,-11230000,29.70
6240,2022-04-18,-1998000,28.07
6239,2022-04-18,-4275000,46.97
6237,2022-04-18,-6532000,41.31
6235,2022-04-18,-83032000,40.05
6257,2022-04-18,-17983000,28.62
6234,2022-04-18,-203000,33.33
6277,2022-04-18,0,50.00
6279,2022-04-18,-16583000,31.18
6431,2022-04-18,-201000,18.65
6425,2022-04-18,-1640000,29.49
6423,2022-04-18,270000,51.92
6419,2022-04-18,32000,60.86
6416,2022-04-18,-867000,35.56
6415,2022-04-18,220510000,67.48
6414,2022-04-18,62403000,69.20
6412,2022-04-18,-717000,46.23
6411,2022-04-18,17683000,53.21
6409,2022-04-18,7120000,62.08
6407,2022-04-18,-176000,43.52
6278,2022-04-18,17225000,56.43
6403,2022-04-18,-280000,16.19
6292,2022-04-18,-139000,33.25
6291,2022-04-18,595000,77.29
6290,2022-04-18,-5897000,24.93
6289,2022-04-18,-101000,5.28
6288,2022-04-18,-1880000,29.29
6287,2022-04-18,72000,69.63
6285,2022-04-18,-9885000,36.68
6284,2022-04-18,-1810000,35.25
6283,2022-04-18,-361000,40.76
6282,2022-04-18,-65309000,26.95
6281,2022-04-18,-2300000,11.45
6294,2022-04-18,881000,81.93
5432,2022-04-18,82000,75.05
6233,2022-04-18,-2820000,34.20
6229,2022-04-18,-1263000,29.68
6191,2022-04-18,-36127000,29.93
6190,2022-04-18,-135883000,35.96
6189,2022-04-18,-10762000,22.56
6188,2022-04-18,-9399000,33.49
6187,2022-04-18,-16317000,42.15
6186,2022-04-18,-2260000,25.76
6185,2022-04-18,-1698000,29.00
6183,2022-04-18,-52000,33.46
6182,2022-04-18,-184253000,37.43
6180,2022-04-18,-5477000,37.43
6179,2022-04-18,911000,62.68
6192,2022-04-18,-369000,46.89
6177,2022-04-18,-1360000,45.66
6175,2022-04-18,-1139000,40.06
6174,2022-04-18,1297000,53.11
6173,2022-04-18,-1322000,40.55
6171,2022-04-18,-207000,31.57
6170,2022-04-18,-2742000,36.66
6169,2022-04-18,-476000,13.38
6168,2022-04-18,-1911000,29.36
6167,2022-04-18,-1931000,30.23
6166,2022-04-18,-113000,45.05
6165,2022-04-18,235000,61.11
6164,2022-04-18,80000,52.33
6176,2022-04-18,50621000,67.61
6231,2022-04-18,-18045000,32.22
6195,2022-04-18,-365000,26.72
6197,2022-04-18,-2921000,29.13
6228,2022-04-18,27000,51.02
6227,2022-04-18,-1149000,19.25
6226,2022-04-18,-3139000,30.74
6225,2022-04-18,607000,75.47
6224,2022-04-18,-1736000,41.57
6223,2022-04-18,-6379000,36.35
6221,2022-04-18,243000,85.71
6220,2022-04-18,-124000,31.28
6219,2022-04-18,2645000,71.04
6218,2022-04-18,168000,62.94
6217,2022-04-18,-23757000,45.52
6196,2022-04-18,-22300000,39.89
6216,2022-04-18,1926000,56.02
6214,2022-04-18,92000,50.83
6213,2022-04-18,9830000,52.79
6209,2022-04-18,-3388000,29.29
6208,2022-04-18,-5090000,22.69
6207,2022-04-18,-2592000,30.27
6206,2022-04-18,-9553000,17.26
6205,2022-04-18,-40200000,30.45
6204,2022-04-18,-412000,36.04
6203,2022-04-18,-7254000,10.97
6202,2022-04-18,-59262000,29.62
6199,2022-04-18,-169000,25.85
6215,2022-04-18,-581000,34.31
6432,2022-04-18,36000,60.20
5426,2022-04-18,-185000,31.40
5410,2022-04-18,-589000,31.81
4737,2022-04-18,600000,75.13
4736,2022-04-18,-188774000,44.91
4735,2022-04-18,4482000,77.69
4732,2022-04-18,-154000,46.63
4729,2022-04-18,-46000,16.79
4728,2022-04-18,1056000,83.36
4726,2022-04-18,4829000,56.09
4722,2022-04-18,-823000,28.31
4721,2022-04-18,-32248000,32.75
4720,2022-04-18,-1073000,42.66
4716,2022-04-18,-1263000,42.13
4714,2022-04-18,-2094000,28.29
4711,2022-04-18,-112000,34.75
4707,2022-04-18,25191000,62.45
4702,2022-04-18,-5095000,44.78
4609,2022-04-18,-8000,33.60
4583,2022-04-18,-223000,49.14
4582,2022-04-18,146000,54.42
4581,2022-04-18,-69000,25.17
4580,2022-04-18,2996000,69.36
4576,2022-04-18,-2827000,13.54
4575,2022-04-18,-180000,15.55
4572,2022-04-18,-1457000,39.47
4738,2022-04-18,-5000,48.92
4739,2022-04-18,-130572000,34.83
4743,2022-04-18,-39359000,40.94
4744,2022-04-18,4823000,65.49
4919,2022-04-18,207476000,54.10
4916,2022-04-18,-2763000,38.79
4915,2022-04-18,-26250000,44.08
4912,2022-04-18,-4271000,43.54
4911,2022-04-18,-54000,47.69
4909,2022-04-18,-824000,22.61
4908,2022-04-18,-2334000,38.35
4906,2022-04-18,-18833000,41.30
4904,2022-04-18,242733000,67.28
4903,2022-04-18,74000,57.64
4806,2022-04-18,858000,92.81
4571,2022-04-18,630000,88.90
4804,2022-04-18,26098000,64.73
4770,2022-04-18,-22356000,24.85
4768,2022-04-18,19360000,73.01
4766,2022-04-18,647000,59.26
4764,2022-04-18,0,50.17
4763,2022-04-18,817000,57.58
4760,2022-04-18,0,49.93
4755,2022-04-18,-95795000,36.79
4749,2022-04-18,-30868000,33.28
4747,2022-04-18,101000,71.41
4746,2022-04-18,-32655000,46.88
4745,2022-04-18,-2986000,34.00
4771,2022-04-18,-1564000,43.63
4566,2022-04-18,-85000,25.29
4564,2022-04-18,644000,61.56
4563,2022-04-18,-421000,11.20
4438,2022-04-18,-437000,40.14
4433,2022-04-18,-765000,3.60
4432,2022-04-18,-453000,15.90
4431,2022-04-18,244000,57.59
4430,2022-04-18,-185000,16.80
4426,2022-04-18,586000,50.70
4420,2022-04-18,-170000,40.05
4417,2022-04-18,-171000,14.32
4414,2022-04-18,-4681000,34.44
4413,2022-04-18,-118000,25.20
4406,2022-04-18,-684000,16.36
4440,2022-04-18,-1478000,23.25
4402,2022-04-18,39000,50.23
4306,2022-04-18,-1453000,46.36
4304,2022-04-18,-191000,18.02
4303,2022-04-18,-881000,26.26
4207,2022-04-18,-20867000,45.49
4205,2022-04-18,-457000,35.81
4198,2022-04-18,-79000,24.98
4195,2022-04-18,1032000,53.73
4194,2022-04-18,-1993000,18.78
4192,2022-04-18,499000,55.41
4190,2022-04-18,-213000,28.51
4188,2022-04-18,460000,68.32
4401,2022-04-18,-1123000,18.51
4923,2022-04-18,-1491000,42.27
4503,2022-04-18,-742000,29.32
4510,2022-04-18,414000,72.33
4562,2022-04-18,-318000,35.51
4560,2022-04-18,-84000,45.03
4558,2022-04-18,-259000,28.76
4554,2022-04-18,234000,76.69
4552,2022-04-18,-176000,39.99
4551,2022-04-18,-10718000,25.17
4550,2022-04-18,-89000,43.91
4549,2022-04-18,-741000,37.54
4546,2022-04-18,637000,61.12
4545,2022-04-18,590000,60.67
4543,2022-04-18,-213000,25.13
4506,2022-04-18,-615000,30.63
4541,2022-04-18,-1866000,42.49
4536,2022-04-18,653000,62.03
4535,2022-04-18,-108000,19.98
4534,2022-04-18,-1941000,22.08
4533,2022-04-18,258000,69.07
4532,2022-04-18,-295000,45.64
4529,2022-04-18,-283000,36.25
4528,2022-04-18,-307000,25.17
4527,2022-04-18,522000,91.32
4526,2022-04-18,-1563000,15.67
4523,2022-04-18,-79000,20.00
4513,2022-04-18,-1173000,40.24
4537,2022-04-18,-73000,43.35
4925,2022-04-18,-14321000,29.78
4927,2022-04-18,-11952000,41.52
4930,2022-04-18,-1045000,35.53
5289,2022-04-18,3851000,55.15
5288,2022-04-18,-604000,33.48
5287,2022-04-18,-211000,42.95
5285,2022-04-18,-15689000,25.46
5284,2022-04-18,-265000,12.52
5283,2022-04-18,-1042000,32.02
5278,2022-04-18,271000,57.17
5277,2022-04-18,226000,75.14
5276,2022-04-18,13000,54.76
5274,2022-04-18,39140000,71.53
5272,2022-04-18,-1122000,39.06
5291,2022-04-18,492000,72.44
5271,2022-04-18,57000,72.16
5263,2022-04-18,-2372000,24.43
5262,2022-04-18,85000,66.57
5258,2022-04-18,94000,50.26
